id	src	title	category
1	/images/gallery/gallery_1.jpg	Equipe e Experimentos no Laboratório de Fisiologia	Laboratório
2	/images/gallery/gallery_2.jpg	Análise de Maturação e Qualidade de Frutos	Laboratório
3	/images/gallery/gallery_3.jpg	Medições Fisiológicas em Casa de Vegetação	Campo
4	/images/gallery/gallery_4.jpg	Coleta e Manejo de Palma Forrageira no Semiárido	Campo
5	/images/gallery/gallery_5.jpg	Extração e Homogeneização de Mucilagem	Laboratório
6	/images/gallery/gallery_6.jpg	Avaliação de Biofilmes e Biopolímeros Biodegradáveis	Laboratório
7	/images/gallery/gallery_7.jpg	Monitoramento Não Destrutivo de Cladódios de Pitaia	Campo
8	/images/gallery/gallery_8.jpg	Apresentação de Trabalhos no Workshop Plástico Verde	Eventos
9	/images/gallery/gallery_9.jpg	Pesquisadores em Atividade Laboratorial com Espectrofotometria	Laboratório
10	/images/gallery/gallery_10.jpg	Avaliação de Vida de Prateleira de Frutos Tratados	Laboratório
11	/images/gallery/gallery_11.jpg	Pesquisa com Culturas de Uva de Mesa e Goiaba	Campo
12	/images/gallery/gallery_12.jpg	Flores Tropicais e Conservação Pós-Colheita	Laboratório
13	/images/gallery/gallery_13.jpg	Mesa de Discussão e Integração da Pós-Graduação (PPGPV)	Eventos
14	/images/gallery/gallery_14.jpg	Testes Físico-Químicos de Firmeza e Acidez Titulável	Laboratório
15	/images/gallery/gallery_15.jpg	Reunião Científica Semanal do NEFP	Eventos
16	/images/gallery/gallery_16.jpg	Demonstração de Recobrimentos em Frutas Frescas	Laboratório
17	/images/gallery/gallery_17.jpg	Confraternização e Homenagens Acadêmicas	Eventos
